minms,maxms,swords
199.98,200,10000
399.98,400,20000
599.98,600,30000
799.98,800,40000
999.98,1e3,50000
1199.98,1200,60000
1399.98,1400,70000
1599.98,1600,80000
1799.98,1800,90000
1999.98,2e3,100000
2199.98,2200,110000
2399.98,2400,120000
2599.98,2600,130000
2799.98,2800,140000
2999.98,3e3,150000
3199.98,3200,160000
3399.98,3400,170000
3599.98,3600,180000
3799.98,3800,190000
3999.98,4e3,200000
4199.98,4200,210000
4399.98,4400,220000
4599.98,4600,230000
4799.98,4800,240000
4999.98,5e3,250000
5199.98,5200,260000
