Min Delay ms,Max Delay ms,Swords (Fwords + 7),,Clock,Signal,Out RT
0.2002,0.2202,11,,50 kHz,10 Hz,~145 ns
0.2202,0.2401,12,,AFG3251C,AFG3251,
0.2403,0.2601,13,,,,
0.2602,0.2801,14,,,,
0.2802,0.3001,15,,,,
0.3002,0.3201,16,,,,
0.3202,0.3402,17,,,,
0.3402,0.3601,18,,,,
0.3602,0.3802,19,,,,
0.3803,0.4001,20,,,,
0.5802,0.6001,30,,,,
0.7802,0.8001,40,,,,
0.9802,1.0001,50,,,,
1.18,1.2,60,,,,
1.38,1.4,70,,,,
1.58,1.6,80,,,,
1.78,1.8,90,,,,
1.98,2,100,,,,
3.98,4,200,,,,
5.98,6,300,,,,
7.98,8,400,,,,
9.98,10,500,,,,
11.98,12,600,,,,
13.98,14,700,,,,
15.98,16,800,,,,
17.98,18,900,,,,
19.98,20,1000,,,,
39.98,40,2000,,,,
59.98,60,3000,,,,
79.98,80,4000,,,,
99.98,100,5000,,,,
119.98,120,6000,,,,
139.98,140,7000,,,,
159.98,160,8000,,,,
179.98,180,9000,,,,
199.98,200,10000,,,,
399.98,400,20000,,,,
599.98,600,30000,,,,
799.98,800,40000,,,,
999.98,1e3,50000,,,,
1199.98,1200,60000,,,,
1399.98,1400,70000,,,,
1599.98,1600,80000,,,,
1799.98,1800,90000,,,,
1999.98,2e3,100000,,,,
2199.98,2200,110000,,,,
2399.98,2400,120000,,,,
2599.98,2600,130000,,,,
2799.98,2800,140000,,,,
2999.98,3e3,150000,,,,
3199.98,3200,160000,,,,
3399.98,3400,170000,,,,
3599.98,3600,180000,,,,
3799.98,3800,190000,,,,
3999.98,4e3,200000,,,,
4199.98,4200,210000,,,,
4399.98,4400,220000,,,,
4599.98,4600,230000,,,,
4799.98,4800,240000,,,,
4999.98,5e3,250000,,,,
5199.98,5200,260000,,,,

